Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.26     12.80     0.04                             dlib::matrix<float, 18l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>::operator()(long)
  0.26     12.84     0.04                             dlib::simd8f::simd8f()
  0.26     12.88     0.04                             dlib::operator<(dlib::simd8f const&, dlib::simd8f const&)
  0.26     12.92     0.04                             dlib::operator-(dlib::simd4i const&, dlib::simd4i const&)
  0.26     12.96     0.04                             dlib::operator-(dlib::simd8i const&, dlib::simd8i const&)
  0.26     13.00     0.04                             dlib::operator*(dlib::simd4i const&, dlib::simd4i const&)
  0.26     13.04     0.04                             dlib::simd4i::store(int*) const
  0.23     13.07     0.04                             void dlib::zero_border_pixels<dlib::array2d<float, dlib::memory_manager_stateless_kernel_1<char> > >(dlib::image_view<dlib::array2d<float, dlib::memory_manager_stateless_kernel_1<char> > >&, dlib::rectangle)
  0.23     13.11     0.04                             dlib::operator-(dlib::simd4f const&, dlib::simd4f const&)
  0.20     13.14     0.03                             encode_base64[abi:cxx11](std::vector<unsigned char, std::allocator<unsigned char> > const&)
  0.20     13.17     0.03                             dlib::enable_if_c<std::numeric_limits<short>::is_signed, bool>::type dlib::ser_helper::unpack_int<short>(short&, std::istream&)
  0.20     13.20     0.03                             dlib::enable_if_c<dlib::is_rgb_image<dlib::matrix<dlib::rgb_pixel, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >::value&&dlib::is_rgb_image<dlib::array2d<dlib::rgb_pixel, dlib::memory_manager_stateless_kernel_1<char> > >::value, void>::type dlib::resize_image<dlib::matrix<dlib::rgb_pixel, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::array2d<dlib::rgb_pixel, dlib::memory_manager_stateless_kernel_1<char> > >(dlib::matrix<dlib::rgb_pixel, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> const&, dlib::array2d<dlib::rgb_pixel, dlib::memory_manager_stateless_kernel_1<char> >&, dlib::interpolate_bilinear)
  0.20     13.23     0.03                             dlib::row_major_layout::layout<float, 18l, 1l, dlib::memory_manager_stateless_kernel_1<char>, 1>::operator()(unsigned long)
  0.20     13.26     0.03                             dlib::entropy_decoder_model_kernel_5<257ul, dlib::entropy_decoder_kernel_2, 200000ul, 4ul>::scale_counts(dlib::edmk5::node*)
  0.20     13.29     0.03                             dlib::simd8i::simd8i(int, int, int, int, int, int, int, int)
  0.20     13.32     0.03                             dlib::array2d<dlib::matrix<float, 18l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::memory_manager_stateless_kernel_1<char> >::row::row(dlib::matrix<float, 18l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>*, long)
  0.20     13.35     0.03                             dlib::enable_if_c<dlib::pixel_traits<dlib::const_image_view<dlib::matrix<dlib::rgb_pixel, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >::pixel_type>::rgb, void>::type dlib::impl_fhog::get_gradient<dlib::const_image_view<dlib::matrix<dlib::rgb_pixel, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >(int, int, dlib::const_image_view<dlib::matrix<dlib::rgb_pixel, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > const&, dlib::simd8f&, dlib::simd8f&, dlib::simd8f&)
  0.20     13.38     0.03                             dlib::operator>(dlib::simd8f const&, dlib::simd8f const&)
  0.20     13.41     0.03                             dlib::matrix_multiply_exp<dlib::matrix_op<dlib::op_trans<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >, dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > const dlib::operator*<dlib::matrix_op<dlib::op_trans<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >, dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >(dlib::matrix_exp<dlib::matrix_op<dlib::op_trans<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > > const&, dlib::matrix_exp<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > const&)
  0.20     13.44     0.03                             float dlib::float_details::convert_to_T<float>() const
  0.20     13.47     0.03                             dlib::const_image_view<dlib::matrix<dlib::rgb_pixel, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >::operator[](long) const
  0.20     13.50     0.03                             dlib::simd8f::operator dlib::simd8i::rawarray() const
  0.20     13.53     0.03                             dlib::simd8i::low() const
  0.20     13.56     0.03                             dlib::simd8i::high() const
  0.17     13.58     0.03                             dlib::memory_manager_stateless_kernel_1<float>::deallocate_array(float*)
  0.17     13.61     0.03                             dlib::select(dlib::simd8i const&, dlib::simd8i const&, dlib::simd8i const&)
  0.17     13.63     0.03                             dlib::simd8f_bool::high() const
  0.13     13.65     0.02                             dlib::enable_if_c<std::numeric_limits<long long>::is_signed, bool>::type dlib::ser_helper::unpack_int<long long>(long long&, std::istream&)
  0.13     13.67     0.02                             dlib::enable_if_c<dlib::pixel_traits<float>::grayscale&&dlib::pixel_traits<int>::grayscale, void>::type dlib::assign_pixel_helpers::assign<float, int>(float&, int const&)
  0.13     13.69     0.02                             dlib::enable_if_c<dlib::pixel_traits<unsigned char>::grayscale&&dlib::pixel_traits<dlib::rgb_pixel>::rgb, void>::type dlib::assign_pixel_helpers::assign<unsigned char, dlib::rgb_pixel>(unsigned char&, dlib::rgb_pixel const&)
  0.13     13.71     0.02                             void dlib::vector_assign_helper<double, double, void>::assign<dlib::matrix_add_exp<dlib::matrix_multiply_exp<dlib::matrix<double, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >, dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >(dlib::vector<double, 2l>&, dlib::matrix_exp<dlib::matrix_add_exp<dlib::matrix_multiply_exp<dlib::matrix<double, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >, dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > const&)
